player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,Season,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,es La Liga,27,1991,24.0,9.0,1216.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.02,2019-2020,13.5,1.0,1.0,14.3,0.07,0.0,0.0,0.05,-0.3,-0.3,597.0,662.0,90.2,10300.0,2390.0,266.0,283.0,94.0,256.0,276.0,92.8,56.0,70.0,80.0,2.0,39.0,2.0,2.0,34.0,636.0,26.0,24.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,13.0,0.96,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,11.0,8.0,1.0,17.0,8.0,9.0,12.0,35.0,1.0,796.0,47.0,281.0,459.0,63.0,3.0,796.0,463.0,7.0,12.0,0.0,522.0,12.0,5.0,0.0,22.0,18.0,0.0,0.0,1.0,0.0,65.0,21.0,20.0,51.2
Gonçalo Guedes,pt POR,"MF,FW",Valencia,es La Liga,22,1996,21.0,14.0,1266.0,2.0,2.0,0.0,0.0,3.0,0.0,0.14,0.14,0.28,0.14,0.28,1.0,1.0,0.07,0.07,2019-2020,14.1,9.0,0.0,39.1,0.64,0.09,0.22,0.04,1.0,1.0,357.0,474.0,75.3,5207.0,1181.0,210.0,255.0,82.4,104.0,143.0,72.7,23.0,36.0,63.9,17.0,22.0,28.0,3.0,60.0,451.0,22.0,8.0,2.0,4.0,29.0,2.0,1.0,0.0,1.0,7.0,1.0,12.0,46.0,3.27,32.0,0.0,1.0,5.0,6.0,0.43,4.0,0.0,0.0,0.0,0.0,19.0,11.0,11.0,7.0,1.0,10.0,1.0,9.0,7.0,1.0,0.0,621.0,5.0,67.0,251.0,318.0,33.0,621.0,459.0,51.0,38.0,15.0,485.0,36.0,21.0,0.0,16.0,43.0,6.0,0.0,0.0,0.0,62.0,3.0,18.0,14.3
Mattéo Guendouzi,fr FRA,MF,Arsenal,eng Premier League,20,1999,24.0,19.0,1748.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,0.8,0.8,0.04,0.04,2019-2020,19.4,5.0,0.0,45.5,0.26,0.0,0.0,0.07,-0.8,-0.8,1027.0,1170.0,87.8,18529.0,5467.0,430.0,467.0,92.1,448.0,483.0,92.8,120.0,144.0,83.3,12.0,141.0,20.0,1.0,160.0,1133.0,33.0,23.0,7.0,8.0,6.0,1.0,0.0,0.0,0.0,8.0,4.0,20.0,40.0,2.06,31.0,0.0,3.0,4.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,31.0,16.0,14.0,13.0,4.0,21.0,7.0,14.0,29.0,38.0,2.0,1385.0,70.0,351.0,785.0,270.0,18.0,1385.0,864.0,50.0,38.0,10.0,1013.0,20.0,21.0,0.0,17.0,49.0,0.0,1.0,0.0,0.0,117.0,12.0,16.0,42.9
Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,de Bundesliga,25,1993,29.0,26.0,2335.0,8.0,2.0,0.0,0.0,3.0,0.0,0.31,0.08,0.39,0.31,0.39,4.6,4.6,0.18,0.18,2019-2020,25.9,15.0,7.0,37.5,0.58,0.2,0.53,0.12,3.4,3.4,1859.0,2129.0,87.3,25978.0,8615.0,1115.0,1192.0,93.5,541.0,624.0,86.7,98.0,154.0,63.6,37.0,135.0,33.0,9.0,163.0,1880.0,238.0,42.0,6.0,6.0,67.0,29.0,13.0,5.0,1.0,167.0,11.0,26.0,72.0,2.78,52.0,8.0,3.0,4.0,7.0,0.27,6.0,0.0,1.0,0.0,0.0,44.0,24.0,18.0,21.0,5.0,27.0,3.0,24.0,42.0,26.0,0.0,2393.0,46.0,553.0,1272.0,591.0,53.0,2393.0,1416.0,75.0,72.0,8.0,1748.0,36.0,25.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,170.0,9.0,20.0,31.0
Adrián Guerrero,es ESP,DF,Valencia,es La Liga,21,1998,2.0,1.0,126.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,79.0,74.7,853.0,294.0,36.0,44.0,81.8,20.0,25.0,80.0,2.0,7.0,28.6,0.0,5.0,0.0,0.0,3.0,68.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,2.0,1.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,91.0,3.0,23.0,49.0,19.0,0.0,91.0,54.0,2.0,0.0,0.0,66.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,22,1997,14.0,11.0,939.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,2019-2020,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.1,-0.1,570.0,680.0,83.8,9367.0,2790.0,278.0,312.0,89.1,236.0,272.0,86.8,40.0,59.0,67.8,6.0,46.0,2.0,0.0,52.0,659.0,17.0,17.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,12.0,1.15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,9.0,17.0,1.0,13.0,3.0,10.0,8.0,15.0,1.0,772.0,32.0,185.0,529.0,67.0,1.0,772.0,440.0,12.0,4.0,0.0,523.0,9.0,8.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,71.0,15.0,17.0,46.9
Babacar Guèye,sn SEN,FW,Paderborn 07,de Bundesliga,24,1994,3.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,2019-2020,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-0.2,-0.2,20.0,24.0,83.3,202.0,48.0,14.0,14.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,18.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,40.0,4.0,4.0,22.0,14.0,5.0,40.0,21.0,0.0,0.0,0.0,26.0,5.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,16.7
John Guidetti,se SWE,"FW,MF",Alavés,es La Liga,27,1992,5.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.13,2019-2020,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.07,-0.1,-0.1,20.0,32.0,62.5,251.0,80.0,16.0,21.0,76.2,3.0,5.0,60.0,1.0,3.0,33.3,1.0,3.0,2.0,0.0,5.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,23.0,17.0,3.0,39.0,32.0,1.0,2.0,0.0,33.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,de Bundesliga,28,1990,25.0,23.0,2062.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.04,0.04,0.0,0.04,1.3,1.3,0.06,0.06,2019-2020,22.9,6.0,0.0,25.0,0.26,0.0,0.0,0.05,-1.3,-1.3,815.0,1009.0,80.8,15999.0,5373.0,267.0,315.0,84.8,386.0,451.0,85.6,132.0,178.0,74.2,9.0,76.0,10.0,0.0,96.0,981.0,23.0,19.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,5.0,12.0,31.0,1.35,26.0,0.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,41.0,26.0,17.0,23.0,1.0,35.0,9.0,26.0,45.0,64.0,2.0,1295.0,92.0,437.0,725.0,143.0,22.0,1295.0,608.0,13.0,7.0,1.0,706.0,25.0,10.0,1.0,44.0,14.0,5.0,0.0,2.0,0.0,181.0,63.0,43.0,59.4
Frederic Guilbert,fr FRA,"DF,MF",Aston Villa,eng Premier League,24,1994,25.0,22.0,2041.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.09,0.09,0.0,0.09,0.3,0.3,0.02,0.02,2019-2020,22.7,3.0,0.0,37.5,0.13,0.0,0.0,0.04,-0.3,-0.3,679.0,1046.0,64.9,11643.0,4660.0,355.0,445.0,79.8,242.0,365.0,66.3,68.0,169.0,40.2,13.0,66.0,21.0,14.0,81.0,824.0,216.0,15.0,0.0,8.0,91.0,1.0,0.0,0.0,0.0,200.0,6.0,35.0,39.0,1.72,33.0,5.0,1.0,0.0,5.0,0.22,4.0,1.0,0.0,0.0,0.0,74.0,43.0,48.0,20.0,6.0,33.0,10.0,23.0,49.0,74.0,2.0,1385.0,105.0,443.0,593.0,361.0,10.0,1385.0,518.0,56.0,42.0,1.0,636.0,30.0,14.0,0.0,36.0,21.0,2.0,0.0,0.0,0.0,104.0,46.0,68.0,40.4
Hugo Guillamón,es ESP,DF,Valencia,es La Liga,19,2000,6.0,5.0,495.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,323.0,90.7,5988.0,2226.0,93.0,96.0,96.9,156.0,163.0,95.7,40.0,57.0,70.2,0.0,11.0,0.0,0.0,20.0,307.0,15.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.36,2.0,0.0,0.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,5.0,29.0,0.0,382.0,86.0,228.0,154.0,3.0,0.0,382.0,279.0,4.0,2.0,0.0,274.0,2.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,24.0,7.0,12.0,36.8
Bruno Guimarães,br BRA,MF,Lyon,fr Ligue 1,21,1997,3.0,3.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,2019-2020,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.1,-0.1,175.0,193.0,90.7,3135.0,735.0,78.0,83.0,94.0,68.0,76.0,89.5,25.0,26.0,96.2,5.0,20.0,3.0,0.0,18.0,186.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,3.67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,5.0,6.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,224.0,5.0,50.0,139.0,35.0,3.0,224.0,146.0,0.0,2.0,1.0,164.0,6.0,4.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0
Sehrou Guirassy,gn GUI,FW,Amiens,fr Ligue 1,23,1996,23.0,23.0,1921.0,9.0,2.0,3.0,4.0,6.0,0.0,0.42,0.09,0.52,0.28,0.37,8.9,5.7,0.41,0.27,2019-2020,21.3,15.0,2.0,36.6,0.7,0.15,0.4,0.14,0.1,0.3,440.0,622.0,70.7,5822.0,977.0,291.0,374.0,77.8,100.0,146.0,68.5,21.0,32.0,65.6,14.0,37.0,7.0,1.0,51.0,594.0,26.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,5.0,2.0,24.0,37.0,1.73,22.0,0.0,1.0,11.0,7.0,0.33,3.0,0.0,0.0,4.0,0.0,7.0,3.0,1.0,4.0,2.0,13.0,6.0,7.0,4.0,21.0,0.0,869.0,29.0,50.0,499.0,325.0,72.0,865.0,526.0,30.0,32.0,11.0,728.0,77.0,41.0,0.0,41.0,63.0,14.0,4.0,0.0,0.0,61.0,93.0,97.0,48.9
Rafik Guitane,fr FRA,MF,Rennes,fr Ligue 1,20,1999,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,109.0,10.0,6.0,10.0,60.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,12.0,4.0,16.0,12.0,2.0,1.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,29,1990,32.0,32.0,2880.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,2019-2020,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,1265.0,80.2,25241.0,17014.0,193.0,193.0,100.0,551.0,558.0,98.7,265.0,503.0,52.7,2.0,9.0,1.0,0.0,2.0,963.0,296.0,69.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,6.0,1335.0,1048.0,1315.0,21.0,0.0,0.0,1335.0,690.0,0.0,0.0,0.0,681.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,6.0,2.0,75.0
Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,28,1991,17.0,15.0,1371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,1.6,1.6,0.1,0.1,2019-2020,15.2,2.0,0.0,14.3,0.13,0.07,0.5,0.11,-0.6,-0.6,698.0,815.0,85.6,14152.0,4610.0,215.0,235.0,91.5,382.0,415.0,92.0,94.0,145.0,64.8,6.0,54.0,8.0,2.0,62.0,775.0,40.0,33.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,19.0,1.25,15.0,0.0,4.0,0.0,1.0,0.07,0.0,0.0,1.0,0.0,0.0,28.0,16.0,17.0,9.0,2.0,23.0,13.0,10.0,22.0,80.0,1.0,1009.0,124.0,513.0,423.0,77.0,19.0,1009.0,550.0,17.0,7.0,0.0,631.0,5.0,2.0,0.0,7.0,12.0,2.0,0.0,0.0,0.0,63.0,42.0,37.0,53.2
Sinan Gümüş,tr TUR,"FW,MF",Genoa,it Serie A,25,1994,3.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.13,2019-2020,1.1,2.0,0.0,66.7,1.87,0.0,0.0,0.05,-0.1,-0.1,24.0,29.0,82.8,274.0,18.0,19.0,21.0,90.5,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.87,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,5.0,18.0,17.0,3.0,39.0,32.0,5.0,4.0,1.0,32.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,28,1990,31.0,21.0,2020.0,2.0,1.0,1.0,2.0,7.0,0.0,0.09,0.04,0.13,0.04,0.09,4.0,2.4,0.18,0.11,2019-2020,22.4,6.0,2.0,19.4,0.27,0.03,0.17,0.08,-2.0,-1.4,1808.0,1990.0,90.9,28970.0,6374.0,956.0,1018.0,93.9,615.0,654.0,94.0,163.0,202.0,80.7,33.0,180.0,31.0,2.0,202.0,1924.0,64.0,30.0,7.0,8.0,30.0,23.0,10.0,3.0,0.0,5.0,2.0,15.0,79.0,3.52,69.0,3.0,3.0,3.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,27.0,16.0,9.0,11.0,7.0,17.0,5.0,12.0,31.0,13.0,0.0,2159.0,55.0,288.0,1325.0,562.0,41.0,2157.0,1517.0,39.0,63.0,5.0,1748.0,15.0,11.0,0.0,16.0,14.0,2.0,0.0,1.0,0.0,137.0,11.0,15.0,42.3
Angus Gunn,eng ENG,GK,Southampton,eng Premier League,23,1996,10.0,10.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,258.0,44.2,3506.0,2767.0,32.0,32.0,100.0,36.0,38.0,94.7,46.0,188.0,24.5,0.0,5.0,1.0,0.0,0.0,147.0,111.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,277.0,221.0,276.0,1.0,0.0,0.0,277.0,121.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
Christian Günter,de GER,DF,Freiburg,de Bundesliga,26,1993,34.0,34.0,3029.0,2.0,8.0,0.0,0.0,2.0,0.0,0.06,0.24,0.3,0.06,0.3,1.3,1.3,0.04,0.04,2019-2020,33.7,8.0,2.0,25.0,0.24,0.06,0.25,0.04,0.7,0.7,1144.0,1655.0,69.1,20266.0,8895.0,531.0,640.0,83.0,479.0,616.0,77.8,115.0,302.0,38.1,81.0,58.0,59.0,45.0,119.0,1166.0,481.0,63.0,3.0,12.0,274.0,83.0,59.0,15.0,0.0,335.0,8.0,54.0,133.0,3.95,73.0,47.0,5.0,5.0,13.0,0.39,5.0,5.0,2.0,1.0,0.0,25.0,11.0,17.0,7.0,1.0,29.0,13.0,16.0,14.0,40.0,0.0,1930.0,66.0,464.0,718.0,774.0,51.0,1930.0,950.0,113.0,84.0,17.0,1077.0,46.0,23.0,0.0,20.0,23.0,3.0,1.0,0.0,0.0,141.0,10.0,32.0,23.8
Koray Günter,de GER,DF,Hellas Verona,it Serie A,24,1994,32.0,31.0,2733.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.01,0.01,2019-2020,30.4,1.0,0.0,16.7,0.03,0.0,0.0,0.06,-0.4,-0.4,1178.0,1383.0,85.2,22377.0,8937.0,430.0,484.0,88.8,598.0,659.0,90.7,128.0,196.0,65.3,2.0,57.0,4.0,1.0,86.0,1332.0,47.0,40.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,14.0,0.46,12.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,39.0,25.0,22.0,15.0,2.0,45.0,39.0,6.0,55.0,131.0,1.0,1708.0,207.0,832.0,846.0,38.0,16.0,1708.0,809.0,7.0,2.0,0.0,923.0,13.0,4.0,0.0,43.0,12.0,0.0,0.0,3.0,0.0,190.0,90.0,73.0,55.2
Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,32,1986,28.0,28.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,817.0,64.7,18521.0,15084.0,60.0,60.0,100.0,194.0,199.0,97.5,275.0,558.0,49.3,2.0,13.0,0.0,0.0,0.0,484.0,333.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,884.0,774.0,883.0,1.0,0.0,0.0,884.0,369.0,0.0,1.0,0.0,269.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,33.0,7.0,1.0,87.5
Luiz Gustavo,br BRA,MF,Marseille,fr Ligue 1,32,1987,3.0,2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,0.06,2019-2020,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.1,-0.1,93.0,99.0,93.9,1415.0,402.0,47.0,48.0,97.9,36.0,39.0,92.3,6.0,8.0,75.0,2.0,6.0,0.0,0.0,6.0,96.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.89,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,3.0,0.0,5.0,2.0,3.0,5.0,6.0,0.0,129.0,4.0,38.0,78.0,15.0,2.0,129.0,83.0,1.0,0.0,0.0,87.0,3.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
Jonathan de Guzmán,nl NED,MF,Eint Frankfurt,de Bundesliga,31,1987,8.0,0.0,87.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.03,1.03,0.0,1.03,0.0,0.0,0.04,0.04,2019-2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,78.0,104.0,75.0,1279.0,390.0,34.0,40.0,85.0,31.0,35.0,88.6,6.0,20.0,30.0,5.0,9.0,2.0,1.0,10.0,87.0,16.0,9.0,0.0,1.0,14.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,9.0,9.42,6.0,3.0,0.0,0.0,1.0,1.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,117.0,1.0,8.0,65.0,45.0,1.0,117.0,65.0,3.0,4.0,0.0,80.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0
Erling Haaland,no NOR,FW,Dortmund,de Bundesliga,19,2000,15.0,11.0,1063.0,13.0,2.0,0.0,0.0,0.0,0.0,1.1,0.17,1.27,1.1,1.27,8.8,8.8,0.74,0.74,2019-2020,11.8,19.0,0.0,55.9,1.61,0.38,0.68,0.26,4.2,4.2,166.0,242.0,68.6,1959.0,380.0,91.0,119.0,76.5,44.0,62.0,71.0,3.0,5.0,60.0,9.0,8.0,9.0,1.0,21.0,213.0,26.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,10.0,26.0,2.2,15.0,0.0,4.0,2.0,6.0,0.51,3.0,0.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,3.0,7.0,4.0,3.0,4.0,4.0,0.0,350.0,8.0,18.0,166.0,170.0,59.0,350.0,194.0,22.0,13.0,13.0,245.0,26.0,12.0,0.0,10.0,7.0,3.0,1.0,0.0,0.0,29.0,18.0,21.0,46.2
Janik Haberer,de GER,"MF,FW",Freiburg,de Bundesliga,25,1994,26.0,20.0,1721.0,2.0,2.0,0.0,0.0,5.0,1.0,0.1,0.1,0.21,0.1,0.21,0.6,0.6,0.03,0.03,2019-2020,19.1,4.0,0.0,30.8,0.21,0.15,0.5,0.05,1.4,1.4,739.0,906.0,81.6,13127.0,2581.0,307.0,363.0,84.6,309.0,348.0,88.8,83.0,113.0,73.5,17.0,61.0,9.0,2.0,76.0,872.0,32.0,16.0,1.0,15.0,12.0,1.0,0.0,0.0,0.0,9.0,2.0,20.0,51.0,2.67,39.0,1.0,2.0,7.0,3.0,0.16,2.0,0.0,0.0,1.0,0.0,26.0,18.0,8.0,14.0,4.0,25.0,4.0,21.0,25.0,23.0,0.0,1096.0,26.0,203.0,660.0,243.0,29.0,1096.0,597.0,19.0,23.0,4.0,713.0,31.0,20.0,1.0,34.0,38.0,0.0,0.0,0.0,0.0,129.0,35.0,54.0,39.3
Alexander Hack,de GER,DF,Mainz 05,de Bundesliga,25,1993,14.0,9.0,805.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.05,0.05,2019-2020,8.9,1.0,0.0,12.5,0.11,0.0,0.0,0.06,-0.5,-0.5,327.0,429.0,76.2,6726.0,3247.0,110.0,129.0,85.3,153.0,183.0,83.6,58.0,92.0,63.0,4.0,32.0,2.0,0.0,37.0,409.0,15.0,13.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,10.0,1.12,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,19.0,6.0,1.0,20.0,9.0,11.0,23.0,60.0,1.0,609.0,94.0,302.0,278.0,30.0,12.0,609.0,289.0,9.0,1.0,0.0,303.0,5.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,0.0,46.0,37.0,28.0,56.9
